PM2.5,PM10
56,81.0
52,75.0
40,54.0
32,48.0
40,63.0
42,67.0
47,70.0
49,71.0
44,63.0
40,64.0
52,80.0
58,87.0
45,72.0
35,65.0
40,158.0
34,154.0
20,56.0
32,67.0
40,78.0
37,77.0
43,102.0
54,214.5
40,155.0
48,125.0
57,129.0
46,101.0
41,111.0
41,107.0
36,86.0
29,55.0
27,84.0
19,66.0
25,68.0
23,59.0
36,82.0
34,74.0
30,65.0
39,92.0
28,88.0
36,109.0
41,109.0
42,100.0
40,139.0
48,172.0
45,129.0
38,94.0
37,63.0
44,96.0
44,106.0
46,155.0
44,135.0
35,91.0
41,114.0
35,103.0
39,107.0
62,214.5
42,121.0
28,63.0
30,68.0
38,108.0
40,118.0
39,129.0
34,64.0
31,54.0
33,52.0
32,55.0
35,78.0
36,74.0
32,62.0
32,86.0
32,102.0
60,214.5
31,97.0
30,91.0
40,125.0
47,160.0
53,202.0
27,93.0
30,120.0
39,113.0
44,146.0
42,152.0
28,72.0
29,72.0
26,79.0
25,68.0
28,88.0
35,103.0
37,107.0
37,113.0
36,110.0
34,120.0
36,112.0
38,107.0
54,214.5
46,149.0
35,113.0
26,48.0
30,56.0
27,76.0
22,51.0
38,116.0
34,94.0
28,87.0
25,75.0
33,103.0
33,89.0
21,52.0
30,114.0
34,113.0
32,101.0
31,90.0
28,77.0
32,104.0
25,45.0
22,40.0
22,51.0
17,27.0
19,34.0
20,55.0
27,82.0
30,61.0
29,81.0
23,59.0
24,70.0
26,70.0
25,68.0
24,67.0
31,92.0
37,101.0
22,44.0
27,76.0
32,95.0
24,43.0
24,51.0
29,63.0
25,61.0
26,57.0
22,42.0
20,37.0
25,68.0
20,54.0
23,50.0
24,54.0
